1,2,3,4,5,6,7,8,9
2,3,345,345,345,345,345,345,345
3,4,345,345,345,345,345,345,345
4,5,345,345,345,345,345,345,345
5,6,345,345,345,345,345,345,345
6,7,345,345,345,345,345,345,345
7,8,345,345,345,345,345,345,345
8,9,345,345,345,345,345,345,345
9,10,345,345,345,345,345,345,345
10,11,345,345,345,345,345,345,345
11,12,345,345,345,345,345,345,345
12,13,345,345,345,345,345,345,345
13,14,345,345,345,345,345,345,345
14,15,345,345,345,345,345,345,345
15,16,345,345,345,345,345,345,345
16,17,345,345,345,345,345,345,345
